_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
12850,0878A00115000000,878A115,2012-05-15,MG-12-000885,City of Clairton,2,Sheriff Return,59920.73,Nationstar Mortgage LLC
12851,0916P00150000000,916P150,2012-05-15,MG-12-000886,N. Fayette Township,,Satisfaction,137632.96,Wells Fargo Bank N. A
12852,0177P00098000000,177P98,2012-05-15,MG-12-000887,Swissvale Boro,,Order of Court,17381.47,PNC Bank National Association
12853,0079G00117000000,79G117,2012-05-15,MG-12-000888,Millvale Boro,,Discontinued without Prejudice,75459.19,PNC Bank National Association
12854,0925F00199000000,925F199,2012-05-15,MG-12-000889,Moon Township,,Settled and Discontinued,191418.98,Citimortgage Inc.
12855,0012F00338000000,12F338,2012-05-15,MG-12-000890,Pittsburgh,16,Certificate-Recorder of Deeds,221658.49,US Bank National Association
12856,0085M00011000000,85M11,2012-05-15,MG-12-000891,Pittsburgh,14,Sheriff Return,204789.92,JPMorgan Chase Bank National Association
12857,0073P00208000000,73P208,2012-05-15,MG-12-000892,Stowe Township,,Sheriff Return,60205.62,Aurora Bank FSB
12858,9910X01515000000,9910X1515,2012-05-16,MG-12-000893,Findlay Township,,Certificate-Recorder of Deeds,0.0,U.S.Bank National Association
12859,0063N00326000000,63N326,2012-05-16,MG-12-000894,Mt. Lebanon Township,,Settled and Discontinued,224909.96,Deutsche Bank National Trust Company
12860,0621F00174000000,621F174,2012-05-16,MG-12-000895,McCandless Township,,Sheriff Return,76652.1,Dollar Bank
12861,0033B00011000000,33B11,2012-05-16,MG-12-000896,Pittsburgh,30,Sheriff Return,46803.42,Wells Fargo Bank N.A.
12862,0104K00062000000,104K62,2012-05-16,MG-12-000897,Carnegie Boro,,Sheriff Return,151728.71,PHH Mortgage Corporation
12863,0033H00154000000,33H154,2012-05-16,MG-12-000898,Mt. Oliver Boro,,Praecipe to Withdraw,34575.05,Bank of America N.A.
12864,0189G00048000000,189G48,2012-05-16,MG-12-000899,Whitehall Boro,,Sheriff Return,175905.53,Nationstar Mortgage LLC
12865,0033D00290000000,33D290,2012-05-16,MG-12-000900,Mt. Oliver Boro,,Sheriff Return,69034.26,JPMorgan Chase Bank National Association
12866,0230M00324000000,230M324,2012-05-17,MG-12-000901,Penn Hills Township,,Sheriff Return,71088.91,Generation Mortgage Company
12867,0284R00014000000,284R14,2012-05-17,MG-12-000902,Shaler Township,,Discontinued without Prejudice,61539.68,U.S. Bank National Association
12868,0016L00003000000,16L3,2012-05-17,MG-12-000903,Pittsburgh,19,Sheriff Return,82460.42,Bank of New York Mellon
12869,0365G00303000000,365G303,2012-05-17,MG-12-000904,Penn Hills Township,,Order of Court,109760.05,Bank of America N.A.
12870,0279D00344000000,279D344,2012-05-17,MG-12-000905,West View Boro,,Sheriff Return,71554.67,Deutsche Bank National Trust Company
12871,0792D00165000000,792D165,2012-05-17,MG-12-000906,McDonald Boro,,Sheriff Return,96592.42,PNC Bank National Association
12872,0105C00138000000,105C138,2012-05-18,MG-12-000907,Thornburg Boro,,Sheriff Return,0.0,Bank of America N.A.
12873,1224H00338000000,1224H338,2012-05-18,MG-12-000908,Brackenridge Boro,,Order of Court,133759.43,Nationstar Mortgage LLC
12874,0027C00011000000,27C11,2012-05-18,MG-12-000909,Pittsburgh,5,Discontinued without Prejudice,20221.62,JPMorgan Chase Bank National Association
12875,0419C00034000000,419C34,2012-05-18,MG-12-000910,Coraopolis Boro,,Sheriff Return,88359.31,U.S. Bank National Association
12876,0445J00255000000,445J255,2012-05-18,MG-12-000911,Penn Hills Township,,Certificate-Recorder of Deeds,39956.61,U.S. Bank National Association
12877,0087E00050000000,87E50,2012-05-18,MG-12-000912,Pittsburgh,,Settled and Discontinued,0.0,JPMorgan Chase Bank N.A.
12878,0362R00180000000,362R180,2012-05-18,MG-12-000913,Oakmont Boro,,Discontinued with Prejudice,121035.85,Citimortgage Inc.
12879,0280K00069000000,280K69,2012-05-18,MG-12-000914,West View Boro,,Sheriff Return,148392.24,Queen's Park Oval Asset Holding Trust
12880,0276K00292000000,276K292,2012-05-21,MG-12-000915,Emsworth Boro,,Sheriff Return,162901.11,Bank of New York Mellon
12881,0140K00150000000,140K150,2012-05-21,MG-12-000917,Mt. Lebanon Township,,Complaint,0.0,Pertorre & Company Inc.
12882,0097B00263000000,97B263,2012-05-21,MG-12-000918,Pittsburgh,19,Settled and Discontinued,83142.72,Wells Fargo Bank N. A
12883,0375F00388000000,375F388,2012-05-21,MG-12-000919,N. Braddock Boro,,Sheriff Return,90037.29,US Bank National Assciation
12884,0180K00213000000,180K213,2012-05-21,MG-12-000920,Whitaker Boro,,Correction to Judgment Index,34104.03,Deutsche Bank National Trust Company
12885,1822M00013000000,1822M13,2012-05-21,MG-12-000921,Marshall Township,,Sheriff Return,352744.12,U.S. Bank National Association
12886,0318C00080040200,318C80 402,2012-05-21,MG-12-000922,Mt. Lebanon Township,,Settled and Discontinued,251649.45,Wells Fargo Bank N. A
12887,0162E00342000000,162E342,2012-05-21,MG-12-000923,Ross Township,,Certificate-Recorder of Deeds,170099.0,Bank of New York Mellon
12888,0371B00036000000,371B36,2012-05-21,MG-12-000924,Churchill Boro,,Sheriff Return,157016.93,James B. Nutter & Company
12889,0538M00087000000,538M87,2012-05-21,MG-12-000925,Penn Hills Township,,Order of Court,45186.1,JPMorgan Chase Bank National Association
12890,0042L00102000000,42L102,2012-05-21,MG-12-000926,Pittsburgh,,Order of Court,65401.86,Wells Fargo Bank N. A
12891,0136A00159000000,136A159,2012-05-21,MG-12-000927,Baldwin Boro,,Suggestion of Bankruptcy,97081.09,Fannie Mae
12892,0520B00169000000,520B169,2012-05-21,MG-12-000928,Shaler Township,,Order of Court,61800.25,JPMorgan Chase Bank N.A.
12893,1068E00397000000,1068E397,2012-05-21,MG-12-000929,Franklin Park Boro,,Certificate-Recorder of Deeds,128882.65,Citifinancial Services Inc.
12894,0166K00318000000,166K318,2012-05-21,MG-12-000930,Shaler Township,,Sheriff Return,129654.11,Wells Fargo Bank N.A.
12895,0064S00142000000,64S142,2012-05-21,MG-12-000931,Mt. Lebanon Township,,Settled and Discontinued,122462.43,Wells Fargo Bank N.A.
12896,0387L00064000000,387L64,2012-05-22,MG-12-000932,West Mifflin Boro,,Settled and Discontinued,110684.04,Wells Fargo Bank N.A.
12897,0969P00280000000,969P280,2012-05-22,MG-12-000933,Plum Boro,,Sheriff Return,160425.35,Wells Fargo Bank NA
12898,0546R00123000000,546R123,2012-05-22,MG-12-000934,East McKeesport Boro,,Certificate-Recorder of Deeds,76771.87,U.S. Bank National Association
12899,0130R00351000000,130R351,2012-05-22,MG-12-000935,Munhall Boro,,Sheriff Return,33838.98,U.S. Bank National Association
12900,0390G00090000000,390G90,2012-05-22,MG-12-000936,Baldwin Boro,,Satisfaction,61689.14,Midfirst Bank
12901,0182P00062000000,182P62,2012-05-22,MG-12-000937,Munhall Boro,,Sheriff Return,61057.8,U.S. Bank National Association
12902,0628D00199000000,628D199,2012-05-22,MG-12-000938,Springdale Boro,,Order of Court,57981.2,U.S. Bank National Association
12903,1223N00328000000,1223N328,2012-05-22,MG-12-000939,Tarentum Boro,,Certificate-Recorder of Deeds,35562.45,U.S. Bank National Association
12904,0324D00050000000,324D50,2012-05-22,MG-12-000940,Bridgeville Boro,,Mail Returned,68013.61,Northwest Savings Bank
12905,0023E00341000000,23E341,2012-05-22,MG-12-000941,Pittsburgh,25,Sheriff Return,30744.89,Bayview Loan Servicing LLC
12906,0690C00024000000,690C24,2012-05-22,MG-12-000942,N. Fayette Township,,Sheriff Return,108715.9,Deutsche Bank National Trust Company
12907,0632P00079000000,632P79,2012-05-22,MG-12-000943,Penn Hills Township,,Sheriff Return,51800.0,JPMorgan Chase Bank National Association
12908,0131A00291000000,131A291,2012-05-23,MG-12-000944,West Homestead Boro,,Reply to New Matter,45947.56,Bank of America N.A.
12909,0449H00382000000,449H382,2012-05-23,MG-12-000945,Penn Hills Township,,Settled and Discontinued,38993.86,S & T Bank
12910,0316B00006000000,316B6,2012-05-23,MG-12-000946,Baldwin Township,,Praecipe for Withdrawal,64452.58,Wells Fargo Home Mortgage Inc.
12911,0129J00025000000,129J25,2012-05-23,MG-12-000947,Pittsburgh,14,Judgment by Court Order,32263.26,PHH Mortgage Corporation
12912,0451C00307000000,451C307,2012-05-23,MG-12-000948,Penn Hills Township,,Praecipe to Withdraw,176215.58,Wells Fargo Bank N.A.
12913,1272C00205000000,1272C205,2012-05-23,MG-12-000949,Elizabeth Township,,Complaint,131099.38,Wells Fargo Bank N.A.
12914,0936P00210000000,936P210,2012-05-23,MG-12-000950,Bell Acres Boro,,Praecipe to Reinstate,421102.06,Nationstar Mortgage LLC
12915,0942G00303000000,942G303,2012-05-24,MG-12-000951,Franklin Park Boro,,Amended,163438.48,Wells Fargo Bank N. A
12916,0366G00109000000,366G109,2012-05-24,MG-12-000952,Penn Hills Township,,Sheriff Return,109340.41,Wells Fargo Bank N.A.
12917,0081G00143000000,81G143,2012-05-24,MG-12-000953,Pittsburgh,10,Return of Service,83891.93,Wilmington Savings Fund Society FSB
12918,0702C00219000000,702C219,2012-05-24,MG-12-000954,Crescent Township,,Correction to Judgment Index,99503.72,JP Morgan Chase Bank N.A.
12919,0980E00379000000,980E379,2012-05-24,MG-12-000955,Monroeville Boro,,Assignment of Judgment,187440.42,Nationstar Mortgage LLC
12920,0075B00052000000,75B52,2012-05-24,MG-12-000956,Pittsburgh,27,Order of Court,50483.26,PHH Mortgage Corporation
12921,0270D00163000000,270D163,2012-05-24,MG-12-000957,Robinson Township,,Praecipe to Withdraw,83260.92,PHH Mortgage Corporation
12922,0466D00208000000,466D208,2012-05-24,MG-12-000958,Port Vue Boro,,Certificate-Recorder of Deeds,42640.41,JPMorgan Chase Bank N.A.
12923,0324K00003000000,324K3,2012-05-24,MG-12-000959,S. Fayette Township,,Discontinued without Prejudice,195037.78,JPMorgan Chase Bank N.A.
12924,0175M00105000000,175M105,2012-05-25,MG-12-000960,Wilkinsburg Boro,,Sheriff Return,37578.97,Bayview Loan Servicing LLC
12925,0690C00010000000,690C10,2012-05-24,MG-12-000961,N. Fayette Township,,Praecipe to Withdraw,16494.96,JPMorgan Chase Bank N.A.
12926,9929X83535000000,9929X83535,2012-05-24,MG-12-000961,N. Fayette Township,,Praecipe to Withdraw,16494.96,JPMorgan Chase Bank N.A.
12927,0063A00330000000,63A330,2012-05-25,MG-12-000962,Pittsburgh,20,Sheriff Return,130153.9,JPMorgan Chase Bank N.A.
12928,0062R00064000000,62R64,2012-05-25,MG-12-000963,Pittsburgh,19,Sheriff Return,165305.55,U.S. Bank National Association
12929,0590K00056000000,590K56,2012-05-25,MG-12-000964,N. Fayette Township,,Settled and Discontinued,0.0,JPMorgan Chase Bank N.A.
12930,0114P00208000000,114P208,2012-05-25,MG-12-000965,Pittsburgh,27,Sheriff Return,111271.87,JPMorgan Chase Bank N.A.
12931,0137R00043000000,137R43,2012-05-25,MG-12-000966,Brentwood Boro,,Default Judgment,51271.72,Aurora Bank FSB
12932,0353M00010000000,353M10,2012-05-25,MG-12-000967,Shaler Township,,Complaint,172476.81,Deutsche Bank National Trust Company
12933,1506G00292000000,1506G292,2012-05-25,MG-12-000968,Richland Township,,Order of Court,0.0,Bank of New York Mellon
12934,0368E00385000000,368E385,2012-05-27,MG-12-000969,Penn Hills Township,,Settled and Discontinued,165680.75,Bank of New York Mellon
12935,0374D00216000000,374D216,2012-05-27,MG-12-000970,Wilkins Township,,Sheriff Return,81558.37,LNV Corporation
12936,0808P00124000000,808P124,2012-05-28,MG-12-000971,Moon Township,,Correction to Judgment Index,292317.96,Citimortgage Inc.
12937,0014D00197000000,14D197,2012-05-28,MG-12-000972,Pittsburgh,17,Sheriff Return,107739.35,U.S. Bank National Association
12938,0221M00178000000,221M178,2012-05-28,MG-12-000973,Etna Boro,,Order of Court,44717.66,JPMorgan Chase Bank N.A.
12939,0141N00245000000,141N245,2012-05-29,MG-12-000974,Mt. Lebanon Township,,Order of Court,61352.77,HSBC Bank USA N.A.
12940,0690D00127000000,690D127,2012-05-29,MG-12-000975,N. Fayette Township,,Praecipe for Appearance,90299.13,Wells Fargo Bank N.A.
12941,0516M00086000000,516M86,2012-05-29,MG-12-000976,Ross Township,,Satisfaction,101553.64,Wells Fargo Bank N.A.
12942,0368C00350000000,368C350,2012-05-29,MG-12-000977,Penn Hills Township,,Praecipe for Appearance,80595.45,Wells Fargo Bank N.A.
12943,0279K00073000002,279K73 02,2012-05-29,MG-12-000978,West View Boro,,Discontinued without Prejudice,98842.54,Bank of New York Mellon
12944,0643N00232000000,643N232,2012-05-29,MG-12-000979,N. Versailles Twp.,,Sheriff Return,96662.25,JPMorgan Chase Bank N.A.
12945,0308R00236000000,308R236,2012-05-29,MG-12-000980,Port Vue Boro,,Sheriff Return,40095.88,JPMorgan Chase Bank N.A.
12946,0230M00387000000,230M387,2012-05-29,MG-12-000981,Penn Hills Township,,Sheriff Return,5848.25,Wells Fargo Bank NA
12947,0847M00184000000,847M184,2012-05-29,MG-12-000982,Plum Boro,,Praecipe to Withdraw,54141.34,Wells Fargo Bank NA
12948,9920X84136000000,9920X84136,2012-05-30,MG-12-000983,N. Fayette Township,,Sheriff Return,86628.1,Clearvue Opportunity XV LLC
12949,0181M00334000000,181M334,2012-05-30,MG-12-000984,West Mifflin Boro,,Complaint,31321.53,J.P. Morgan Mortgage Acquisition Corporation
12950,0546G00162000000,546G162,2012-05-30,MG-12-000985,Wilmerding Boro,,Sheriff Return,68044.84,Bank of America N.A.
12951,0547G00159000000,547G159,2012-05-30,MG-12-000986,East McKeesport Boro,,Sheriff Return,68305.76,Citifinancial Services Inc.
12952,0295A00366000000,295A366,2012-05-30,MG-12-000987,Penn Hills Township,,Order of Court,37360.7,PHH Mortgage Corpoartion
12953,0060M00126000000,60M126,2012-05-30,MG-12-000988,Pittsburgh,29,Sheriff Return,44442.67,JPMorgan Chase Bank National Association
12954,0925C00052000000,925C52,2012-05-30,MG-12-000989,Moon Township,,Verification of Service,281611.93,H & R Block Bank
12955,0634D00266000000,634D266,2012-05-31,MG-12-000990,Penn Hills Township,,Order of Court,136270.12,Bayview Loan Servicing LLC
12956,0010N00337000000,10N337,2012-05-31,MG-12-000991,Pittsburgh,5,Sheriff Return,32072.78,JPMorgan Chase Bank National Association
12957,0364M00008000000,364M8,2012-05-31,MG-12-000992,Shaler Township,,Sheriff Return,274222.52,Deutsche Bank National Trust Company
12958,0188C00048000000,188C48,2012-05-31,MG-12-000993,Brentwood Boro,,Sheriff Return,131730.64,PNC Bank National Association
12959,0438F00207000000,438F207,2012-05-31,MG-12-000994,Fox Chapel Boro,,Discontinued without Prejudice,100773.6,OneWest Bank FSB
12960,0421D00034000000,421D34,2012-05-31,MG-12-000995,Sewickley Boro,,Sheriff Return,42473.27,JPMorgan Chase Bank National Association
12961,0373J00124000000,373J124,2012-05-31,MG-12-000996,Forest Hills Boro,,Praecipe to Withdraw,31261.37,JP Morgan Chase Bank N.A.
12962,2085P00197000000,2085P197,2012-05-31,MG-12-000997,Forward Township,,Sheriff Return,54395.7,Wells Fargo Bank N.A.
12963,0095M00245000000,95M245,2012-06-01,MG-12-000998,Pittsburgh,29,Certificate-Recorder of Deeds,80463.51,U.S. Bank National Association
12964,0452N00010000000,452N10,2012-06-01,MG-12-000999,Churchill Boro,,Sheriff Return,0.0,Bank of New York Mellon
12965,0085B00062102100,85B62 1021,2012-06-01,MG-12-001000,Pittsburgh,7,Sheriff Return,136352.26,Bayview Loan Servicing LLC
12966,0137P00218000000,137P218,2012-06-01,MG-12-001001,Brentwood Boro,,Motion & Order,60824.3,Bank of New York Mellon Trust Company
12967,0380H00119000000,380H119,2012-06-01,MG-12-001002,City of McKeesport,8,Sheriff Return,38230.24,PNC Bank N.A.
12968,0138D00027000000,138D27,2012-06-03,MG-12-001003,Pittsburgh,29,Order of Court,117019.65,Bank of America N.A.
12969,1238H00312000000,1238H312,2012-06-03,MG-12-001004,Plum Boro,,Correction to Judgment Index,200760.84,JPMorgan Chase Bank N.A.
12970,0019F00080000000,19F80,2012-06-04,MG-12-001005,Pittsburgh,20,Discontinued without Prejudice,61849.01,Bank of New York Mellon
12971,0050E00040000000,50E40,2012-06-04,MG-12-001006,Pittsburgh,10,Default Judgment,0.0,Huntington National Bank
12972,0004J00302000000,4J302,2012-06-04,MG-12-001007,Pittsburgh,19,Sheriff Return,127044.73,U.S. Bank N.A.
12973,0362D00374000000,362D374,2012-06-04,MG-12-001008,Oakmont Boro,,Settled and Discontinued,29100.16,First Nationak Bank of PA
12974,0114L00173000000,114L173,2012-06-04,MG-12-001009,Pittsburgh,,Certificate-Recorder of Deeds,49444.41,Smith Michelle
12975,1270L00073000000,1270L73,2012-06-05,MG-12-001010,Elizabeth Boro,,Order of Court,234562.76,Freedom Mortgage Corporation
12976,0141M00294000000,141M294,2012-06-05,MG-12-001011,Mt. Lebanon Township,,Settled and Discontinued,0.0,Wells Fargo Bank N.A.
12977,0341L00014000000,341L14,2012-06-05,MG-12-001012,Moon Township,,Order of Court,22834.48,Citizens Bank of Pennsylvania
12997,0427P00006000000,427P6,2012-06-06,MG-12-001031,Ohio Township,,Sheriff Return,153718.1,E-Loan Inc.
12978,0174L00070000000,174L70,2012-06-05,MG-12-001013,Pittsburgh,13,Discontinued without Prejudice,107154.91,Bank of New York Mellon Trust Company N.A.
12979,1360F00248000000,1360F248,2012-06-05,MG-12-001014,West Deer Township,,Complaint,231143.68,Newbury Place REO III LLC
12980,1360F00252000000,1360F252,2012-06-05,MG-12-001014,West Deer Township,,Complaint,231143.68,Newbury Place REO III LLC
12981,1238F00218000000,1238F218,2012-06-05,MG-12-001015,Plum Boro,,Certification,95078.42,JPMorgan Chase Bank National Association
12982,9905X01608000000,9905X1608,2012-06-05,MG-12-001016,Collier Township,,Certificate-Recorder of Deeds,88316.73,PNC Bank National Association
12983,0297F00221000000,297F221,2012-06-05,MG-12-001017,Wilkinsburg Boro,,Sheriff Return,126688.43,Citibank N.A.
12984,0537P00098000000,537P98,2012-06-05,MG-12-001018,Penn Hills Township,,Sheriff Return,118125.93,JP Morgan Chase Bank National Association
12985,0026N00004000000,26N4,2012-06-05,MG-12-001019,Pittsburgh,5,Certificate-Recorder of Deeds,60213.71,JP Morgan Chase Bank N.A.
12986,0168J00233000000,168J233,2012-06-05,MG-12-001020,Sharpsburg Boro,,Praecipe to Withdraw,44355.55,JP Morgan Chase Bank N.A.
12987,0178K00007000000,178K7,2012-06-05,MG-12-001021,Swissvale Boro,,Sheriff Return,54293.48,Wells Fargo Bank N.A.
12988,0238G00017000000,238G17,2012-06-05,MG-12-001022,West Mifflin Boro,,Sheriff Return,63125.86,Nationstar Morgage LLC
12989,0248C00164000000,248C164,2012-06-05,MG-12-001023,Whitehall Boro,,Certified Order - Higher Court,358776.79,Deutsche Bank National Trust Company
12990,0617S00122000000,617S122,2012-06-05,MG-12-001024,Indiana Township,,Sheriff Return,159778.18,JPMorgan Chase Bank National Association
12991,0317N00086000000,317N86,2012-06-06,MG-12-001025,Bethel Park Boro,,Sheriff Return,126430.48,JPMorgan Chase Bank National Association
12992,2005S00260000000,2005S260,2012-06-06,MG-12-001026,Richland Township,,Certificate of Service,171616.87,HSBC Bank USA N.A.
12993,0069R00090000000,69R90,2012-06-06,MG-12-001027,Crafton Boro,,Praecipe for Appearance,117638.81,Deutsche Bank National Trust Company
12994,0545H00398000000,545H398,2012-06-06,MG-12-001028,Monroeville Boro,,Settled and Discontinued,40083.52,Bank of New York Mellon Trust Company N.A.
12995,0141G00033000000,141G33,2012-06-06,MG-12-001029,Mt. Lebanon Township,,Sheriff Return,100730.22,JPMorgan Chase Bank N.A.
12996,0280P00325000000,280P325,2012-06-06,MG-12-001030,West View Boro,,Sheriff Return,36474.42,Everbank
12999,0381C00121000000,381C121,2012-06-06,MG-12-001033,City of McKeesport,8,Discontinued without Prejudice,56129.73,PNC Bank National Association
13000,1102S00221000000,1102S221,2012-06-06,MG-12-001034,Plum Boro,,Sheriff Return,86190.61,Wells Fargo Bank N.A.
13001,0062P00094000000,62P94,2012-06-06,MG-12-001035,Pittsburgh,19,Sheriff Return,84708.99,Bank of America N.A.
13002,0188F00150000000,188F150,2012-06-06,MG-12-001036,Brentwood Boro,,Sheriff Return,196099.97,Bank of New York Mellon
13003,0280A00164000000,280A164,2012-06-06,MG-12-001037,West View Boro,,Sheriff Return,135108.04,Bank of America N.A.
13004,0368B00060000000,368B60,2012-06-07,MG-12-001038,Penn Hills Township,,Sheriff Return,89277.1,Deutsche Bank National Trust Company
13005,9935X82115000000,9935X82115,2012-06-07,MG-12-001039,Pine Township,,Order of Court,343947.69,Bank of America N.A.
13006,0458E00057000000,458E57,2012-06-07,MG-12-001040,N. Versailles Twp.,,Settled and Discontinued,79741.28,U.S. Bank N.A.
13007,0035F00209000000,35F209,2012-06-07,MG-12-001041,Pittsburgh,19,Discontinued without Prejudice,79912.43,U.S. Bank National Association
13008,0238C00290000000,238C290,2012-06-07,MG-12-001042,West Mifflin Boro,,Sheriff Return,104799.63,U.S. Bank N.A.
13009,0045J00109000000,45J109,2012-06-07,MG-12-001043,Pittsburgh,27,Sheriff Return,70049.06,Wells Fargo Bank N. A
13010,0214R00191000000,214R191,2012-06-07,MG-12-001044,Avalon Boro,,Praecipe to Withdraw,110351.16,Pennymac Mortgage Investment Trust Holdings I LLC
13011,0025D00209000000,25D209,2012-06-07,MG-12-001045,Pittsburgh,6,Sheriff Return,110619.3,JPMorgan Chase Bank N.A.
13012,0027B00255000000,27B255,2012-06-07,MG-12-001046,Pittsburgh,5,Correction to Judgment Index,18270.85,JPMorgan Chase Bank N.A.
13013,0279F00210000000,279F210,2012-06-07,MG-12-001047,West View Boro,,Correction to Judgment Index,79599.02,JPMorgan Chase Bank National Association
13014,1068D00063000000,1068D63,2012-06-07,MG-12-001048,Franklin Park Boro,,Sheriff Return,238320.33,JPMorgan Chase Bank
13015,0315N00058000000,315N58,2012-06-07,MG-12-001049,Baldwin Boro,,Sheriff Return,50468.02,Citizens Bank of Pennsylvania
13016,0548S00153000000,548S153,2012-06-07,MG-12-001050,N. Versailles Twp.,,Settled and Discontinued,93299.12,JPMorgan Chase Bank N.A.
13017,1997L00012000000,1997L12,2012-06-07,MG-12-001051,Marshall Township,,Rule 3129.3 Postponement of Sale,247290.59,JPMorgan Chase Bank National Association
13018,0132H00062000000,132H62,2012-06-07,MG-12-001052,Munhall Boro,,Order of Court,73987.03,JPMorgan Chase Bank N.A.
13019,0045F00174000000,45F174,2012-06-07,MG-12-001053,Pittsburgh,27,Order of Court,107765.31,JPMorgan Chase Bank National Association
13020,0047E00015000000,47E15,2012-06-07,MG-12-001054,Pittsburgh,26,Complaint,26877.56,U.S. Bank National Association
13021,1075B00163000000,1075B163,2012-06-08,MG-12-001055,Hampton Township,,Discontinued without Prejudice,0.0,Residential Mortgage Trust 2008 R1
13022,0734B00062000000,734B62,2012-06-07,MG-12-001056,Pleasant Hills Boro,,Praecipe to Withdraw,75400.94,Wells Fargo Bank N.A.
13023,0554L00262000000,554L262,2012-06-08,MG-12-001057,City of McKeesport,12,Sheriff Return,31626.54,U.S. Bank National Association
13024,0180L00180000000,180L180,2012-06-08,MG-12-001058,Whitaker Boro,,Suggestion of Bankruptcy,89515.61,Bank of New York Mellon
13025,0738K00002000000,738K2,2012-06-08,MG-12-001059,Plum Boro,,Settled and Discontinued,117711.35,Deutsche Bank National Trust Company
13026,0455F00072000000,455F72,2012-06-08,MG-12-001060,Turtle Creek Boro,,Sheriff Return,40456.58,U.S. Bank National Association
13027,0879K00095000000,879K95,2012-06-08,MG-12-001061,City of Clairton,2,Sheriff Return,39915.7,Citimortgage Inc.
13028,0114F00193000000,114F193,2012-06-08,MG-12-001062,Pittsburgh,27,Default Judgment,0.0,HSBC Bank USA N.A.
13029,0572K00003000000,572K3,2012-06-08,MG-12-001063,S. Fayette Township,,Praecipe to Withdraw,255941.24,Bank of America N.A.
13030,0925C00093000000,925C93,2012-06-08,MG-12-001064,Moon Township,,Settled and Discontinued,269800.17,U.S.Bank National Association as trustee
13031,0094F00093000000,94F93,2012-06-10,MG-12-001065,Pittsburgh,29,Sheriff Return,75334.33,Wells Fargo Bank N.A.
13032,0451D00190000000,451D190,2012-06-11,MG-12-001066,Penn Hills Township,,Sheriff Return,65954.79,PNC Bank National Association
13033,0221R00225000000,221R225,2012-06-11,MG-12-001067,Etna Boro,,Sheriff Return,91994.9,Bank of New York Mellon Trust Company N.A.
13034,0536G00105000000,536G105,2012-06-11,MG-12-001068,Penn Hills Township,,Sheriff Return,0.0,Wells Fargo Bank N.A.
13035,0230L00314000000,230L314,2012-06-11,MG-12-001069,Penn Hills Township,,Certificate-Recorder of Deeds,0.0,Huntington National Bank
13036,,NONE,2012-06-11,MG-12-001070,Turtle Creek Boro,,Discontinued without Prejudice,52895.43,Green Tree Consumer Discount Company
13038,0075L00279000000,75L279,2012-06-11,MG-12-001072,Pittsburgh,27,Discontinued without Prejudice,55894.05,U.S. Bank National Association
13039,0230H00004000000,230H4,2012-06-11,MG-12-001073,Penn Hills Township,,Sheriff Return,105611.2,US Bank National Association
13040,0039K00226000000,39K226,2012-06-11,MG-12-001074,Pittsburgh,28,Sheriff Return,74385.26,JPMorgan Chase Bank National Association
13041,0180E00049000000,180E49,2012-06-12,MG-12-001075,Munhall Boro,,Sheriff Return,0.0,JPMorgan Chase Bank National Association
13042,0602G00230000000,602G230,2012-06-12,MG-12-001076,Edgeworth Boro,,Sheriff Return,383885.43,Citizens Bank of Pennsylvania
13043,0072D00146000000,72D146,2012-06-12,MG-12-001077,Stowe Township,,Sheriff Return,102886.94,MTGLQ Investors L.P.
13044,0160C00052000000,160C52,2012-06-12,MG-12-001078,Bellevue Boro,,Sheriff Return,32381.93,Citimortgage Inc.
13045,0450S00241000000,450S241,2012-06-12,MG-12-001079,Penn Hills Township,,Sheriff Return,79844.18,Bank of America N.A.
13046,0451E00263000000,451E263,2012-06-13,MG-12-001080,Penn Hills Township,,Mail Returned,0.0,Ocwen Loan Servicing LLC
13047,0447N00014000000,447N14,2012-06-13,MG-12-001081,Penn Hills Township,,Certificate-Recorder of Deeds,90165.43,US Bank N.A.
13048,0449N00051000000,449N51,2012-06-13,MG-12-001082,Penn Hills Township,,Sheriff Return,89851.87,Bank of New York Mellon
13049,0219M00156000000,219M156,2012-06-13,MG-12-001083,Shaler Township,,Discontinued without Prejudice,131692.71,PNC Bank N.A.
13050,0666S00133000000,666S133,2012-06-13,MG-12-001084,Bethel Park Boro,,Order of Court,74901.69,Deutsche Bank National Trust Company
13051,1574N00266000000,1574N266,2012-06-13,MG-12-001085,Forward Township,,Sheriff Return,166332.89,Bank of America N.A.
13052,0095P00158000000,95P158,2012-06-13,MG-12-001086,Pittsburgh,32,Order of Court,64438.95,Bank of America N.A.
13053,0670L00055000000,670L55,2012-06-14,MG-12-001087,Upper St. Clair Twp.,,Sheriff Return,220898.28,Fifth Third Mortgage Company
13054,0079C00252000100,79C252 1,2012-06-14,MG-12-001088,Millvale Boro,,Certificate-Recorder of Deeds,37563.25,JPMorgan Chase Bank National Association
13055,1133L00168000000,1133L168,2012-06-14,MG-12-001089,Elizabeth Boro,,Discontinued without Prejudice,21942.06,PNC Bank National Association
13056,0719E00261000000,719E261,2012-06-14,MG-12-001090,Hampton Township,,Sheriff Return,151471.97,Fifth Third Mortgage Company
13057,1292D00065000000,1292D65,2012-06-14,MG-12-001091,O'Hara Township,,Certificate-Recorder of Deeds,32533.37,PNC Bank National Association
13058,1666R00076000000,1666R76,2012-06-14,MG-12-001092,West Deer Township,,Certificate-Recorder of Deeds,226143.91,Citimortgage Inc.
